camera name,body type,max resolution,effective pixels,sensor size,sensor type,focal length,lens mount,articulated LCD,maximum aperture,screen size,iso,screen dots,max shutter speed,format,storage types,usb,weight,dimension,gps
Agfa ePhoto 1280,Compact,1024 x 768,1 megapixels,NA,CCD,38–114 mm,NA,NA,F2.8–9,2″,100,"110,000",1/500 sec,NA,SmartMedia,NA,420 g (0.93 lb / 14.82 oz),95 x 86 x 51 mm (3.74 x 3.39 x 2.01″),NA
Agfa ePhoto 1680,Compact,1280 x 960,1 megapixels,NA,CCD,38–114 mm,NA,NA,F2.8–3.5,2″,100,"110,000",1/500 sec,NA,SmartMedia,NA,420 g (0.93 lb / 14.82 oz),158 x 92 x 52 mm (6.22 x 3.62 x 2.05″),NA
Agfa ePhoto CL18,Compact,640 x 480,0 megapixels,NA,CCD,45 mm,NA,NA,F2,NA,100,NA,NA,NA,Internal,NA,NA,NA,NA
Agfa ePhoto CL30,Compact,1152 x 864,1 megapixels,NA,CCD,35 mm,NA,NA,NA,1.8″,100,NA,NA,NA,Compact Flash,USB 1.0 (1.5 Mbit/sec),NA,NA,NA
Agfa ePhoto CL30 Clik!,Compact,1152 x 864,1 megapixels,NA,CCD,43 mm,NA,NA,F2.8–8,1.8″,100,NA,1/700 sec,NA,Clik!,USB 1.0 (1.5 Mbit/sec),300 g (0.66 lb / 10.58 oz),128 x 80 x 37 mm (5.04 x 3.15 x 1.46″),NA
Agfa ePhoto CL45,Compact,1600 x 1200,2 megapixels,NA,CCD,51 mm,NA,NA,F2.8,1.8″,100,NA,1/2000 sec,NA,Compact Flash,USB 1.0 (1.5 Mbit/sec),270 g (0.60 lb / 9.52 oz),119 x 51 x 75 mm (4.69 x 2.01 x 2.95″),NA
Agfa ePhoto CL50,Compact,1280 x 960,1 megapixels,NA,CCD,34–102 mm,NA,NA,F2.8–8,1.8″,100,NA,1/500 sec,NA,SmartMedia,NA,NA,NA,NA
AgfaPhoto DC-600uw,Compact,3680 x 2760,6 megapixels,NA,CCD,NA,NA,Fixed,F3.5–7,2.4″,"Auto, 100, 200, 400, 800, 1600","110,000",1/1000 sec,Motion JPEG,"SD/SDHC, Internal",USB 2.0 (480 Mbit/sec),161 g (0.35 lb / 5.68 oz),101 x 61 x 32 mm (3.98 x 2.4 x 1.26″),NA
Canon ELPH 100 HS (IXUS 115 HS),Ultracompact,4000 x 3000,12 megapixels,NA,BSI-CMOS,28–112 mm,NA,Fixed,F2.8–5.9,3″,"Auto 100, 200, 400, 800, 1600, 3200","230,000",1/2000 sec,H.264,SD/SDHC/SDXC/MMC/MMCplus/HC MMCplus,USB 2.0 (480 Mbit/sec),140 g (0.31 lb / 4.94 oz),93 x 56 x 20 mm (3.66 x 2.2 x 0.79″),NA
Canon ELPH 130 (IXUS 140),Ultracompact,4608 x 3456,16 megapixels,NA,BSI-CMOS,28–224 mm,NA,Fixed,F3.2–6.9,3″,"Auto 100, 200, 400, 800, 1600","460,000",1/2000 sec,H.264,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),133 g (0.29 lb / 4.69 oz),95 x 56 x 21 mm (3.74 x 2.2 x 0.83″),Optional
Canon ELPH 300 HS (IXUS 220 HS),Ultracompact,4000 x 3000,12 megapixels,NA,BSI-CMOS,24–120 mm,NA,Fixed,F2.7–5.9,2.7″,"Auto 100, 200, 400, 800, 1600, 3200","230,000",1/2000 sec,H.264,SD/SDHC/SDXC/MMC/MMCplus/HC MMCplus,USB 2.0 (480 Mbit/sec),141 g (0.31 lb / 4.97 oz),92 x 56 x 20 mm (3.62 x 2.2 x 0.79″),NA
Canon ELPH 310 HS (IXUS 230 HS),Ultracompact,4000 x 3000,12 megapixels,NA,BSI-CMOS,28–224 mm,NA,Fixed,F3–5.9,3″,"Auto 100, 200, 400, 800, 1600, 3200","461,000",1/2000 sec,H.264,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),140 g (0.31 lb / 4.94 oz),96 x 57 x 22 mm (3.78 x 2.24 x 0.87″),NA
Canon ELPH 520 HS (IXUS 500 HS),Ultracompact,3648 x 2736,10 megapixels,NA,BSI-CMOS,28–336 mm,NA,Fixed,F3.4–5.6,3″,"Auto 100, 200, 400, 800, 1600, 3200","461,000",1/4000 sec,H.264,microSD/microSDHC/microSDXC,USB 2.0 (480 Mbit/sec),155 g (0.34 lb / 5.47 oz),87 x 54 x 19 mm (3.43 x 2.13 x 0.75″),NA
Canon EOS 5D,Mid-size SLR,4368 x 2912,13 megapixels,NA,CMOS,1×,Canon EF,Fixed,NA,2.5″,"100 - 1600 in 1/3 stops, plus 50, 3200 as option","230,000",1/8000 sec,NA,Compact Flash (Type I or II),USB 2.0 (480 Mbit/sec),895 g (1.97 lb / 31.57 oz),152 x 113 x 75 mm (5.98 x 4.45 x 2.95″),NA
Canon EOS 5D Mark II,Mid-size SLR,5616 x 3744,21 megapixels,NA,CMOS,1×,Canon EF,Fixed,NA,3″,"Auto, 100 - 6400 in 1/3 stops, plus 50, 12800, 25600 as option","920,000",1/8000 sec,H.264,"Compact Flash (Type I or II), UDMA, Microdrive",USB 2.0 (480 Mbit/sec),850 g (1.87 lb / 29.98 oz),152 x 114 x 75 mm (5.98 x 4.49 x 2.95″),NA
Canon EOS 5D Mark III,Mid-size SLR,5760 x 3840,22 megapixels,NA,CMOS,1×,Canon EF,Fixed,NA,3.2″,"Auto, 100 - 25600 in 1/3 stops, plus 50, 51200, 102400 as option","1,040,000",1/8000 sec,H.264,"Compact Flash Type I (UDMA compatible), SD/SDHC/SDXC",USB 2.0 (480 Mbit/sec),950 g (2.09 lb / 33.51 oz),152 x 116 x 76 mm (5.98 x 4.57 x 2.99″),Optional
Canon EOS 5D Mark IV,Mid-size SLR,6720 x 4480,30 megapixels,NA,CMOS,1×,Canon EF,Fixed,NA,3.2″,"Auto, 100-32000 (expands to 50-102400)","1,620,000",1/8000 sec,"MPEG-4, Motion JPEG",CompactFlash + SD/SDHC/SDXC card (UHS-I enabled),USB 3.0 (5 GBit/sec),890 g (1.96 lb / 31.39 oz),151 x 116 x 76 mm (5.94 x 4.57 x 2.99″),Built-in
Striding Forth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canon EOS 5DS,Mid-size SLR,8688 x 5792,51 megapixels,NA,CMOS,1×,Canon EF,Fixed,NA,3.2″,"Auto, 100-6400 (expandable to 50-12800)","1,040,000",1/8000 sec,H.264,"SD/SDHC/SDXC (UHS-I compatible), CompactFlash",USB 3.0 (5 GBit/sec),930 g (2.05 lb / 32.80 oz),152 x 116 x 76 mm (5.98 x 4.57 x 2.99″),NA
In Fine Detail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canon EOS 5DS R,Mid-size SLR,8688 x 5792,51 megapixels,NA,CMOS,1×,Canon EF,Fixed,NA,3.2″,"Auto, 100-6400 (expandable to 50-12800)","1,040,000",1/8000 sec,H.264,"SD/SDHC/SDXC (UHS-I compatible), CompactFlash",USB 3.0 (5 GBit/sec),930 g (2.05 lb / 32.80 oz),152 x 116 x 76 mm (5.98 x 4.57 x 2.99″),NA
In Fine Detail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
